,Province/State,Country/Region,date,CumConfirmed,CumDeaths,CumRecovered
0,<all>,Afghanistan,2020-01-22,0,0,0
1,<all>,Albania,2020-01-22,0,0,0
2,<all>,Algeria,2020-01-22,0,0,0
3,<all>,Andorra,2020-01-22,0,0,0
4,<all>,Angola,2020-01-22,0,0,0
5,<all>,Antigua and Barbuda,2020-01-22,0,0,0
6,<all>,Argentina,2020-01-22,0,0,0
7,<all>,Armenia,2020-01-22,0,0,0
8,Australian Capital Territory,Australia,2020-01-22,0,0,0
9,New South Wales,Australia,2020-01-22,0,0,0
10,Northern Territory,Australia,2020-01-22,0,0,0
11,Queensland,Australia,2020-01-22,0,0,0
12,South Australia,Australia,2020-01-22,0,0,0
13,Tasmania,Australia,2020-01-22,0,0,0
14,Victoria,Australia,2020-01-22,0,0,0
15,Western Australia,Australia,2020-01-22,0,0,0
16,<all>,Austria,2020-01-22,0,0,0
17,<all>,Azerbaijan,2020-01-22,0,0,0
18,<all>,Bahamas,2020-01-22,0,0,0
19,<all>,Bahrain,2020-01-22,0,0,0
20,<all>,Bangladesh,2020-01-22,0,0,0
21,<all>,Barbados,2020-01-22,0,0,0
22,<all>,Belarus,2020-01-22,0,0,0
23,<all>,Belgium,2020-01-22,0,0,0
24,<all>,Benin,2020-01-22,0,0,0
25,<all>,Bhutan,2020-01-22,0,0,0
26,<all>,Bolivia,2020-01-22,0,0,0
27,<all>,Bosnia and Herzegovina,2020-01-22,0,0,0
28,<all>,Brazil,2020-01-22,0,0,0
29,<all>,Brunei,2020-01-22,0,0,0
30,<all>,Bulgaria,2020-01-22,0,0,0
31,<all>,Burkina Faso,2020-01-22,0,0,0
32,<all>,Cabo Verde,2020-01-22,0,0,0
33,<all>,Cambodia,2020-01-22,0,0,0
34,<all>,Cameroon,2020-01-22,0,0,0
35,<all>,Central African Republic,2020-01-22,0,0,0
36,<all>,Chad,2020-01-22,0,0,0
37,<all>,Chile,2020-01-22,0,0,0
38,Anhui,China,2020-01-22,1,0,0
39,Beijing,China,2020-01-22,14,0,0
40,Chongqing,China,2020-01-22,6,0,0
41,Fujian,China,2020-01-22,1,0,0
42,Gansu,China,2020-01-22,0,0,0
43,Guangdong,China,2020-01-22,26,0,0
44,Guangxi,China,2020-01-22,2,0,0
45,Guizhou,China,2020-01-22,1,0,0
